param_np_ratio,param_negative_perc,param_positive_sample_perc,std_test_AU_PRC,run1,run2,run3
1.5,0.25,1.25,0.15,0.387,0.32,0.177
0.5,0.5,1.25,0.196,0.418,0.551,0.586
1.0,0.5,0.25,0.146,0.43,0.212,0.265
1.0,0.5,0.75,0.216,0.228,0.25,0.431
1.0,0.5,1.5,0.127,0.162,0.392,0.407
1.5,0.5,0.5,0.195,0.469,0.343,0.226
1.5,0.5,1.5,0.112,0.404,0.379,0.585
0.5,1.0,1.0,0.073,0.534,0.338,0.222
0.5,1.0,1.25,0.177,0.28,0.365,0.463
1.0,1.0,0.75,0.199,0.436,0.294,0.272
1.0,1.0,1.25,0.114,0.212,0.191,0.375
1.5,1.0,1.25,0.197,0.385,0.347,0.17
3.0,1.0,0.25,0.115,0.406,0.4,0.203
5.0,1.0,1.25,0.01,0.523,0.336,0.306
