meantestAVGPREC,stdtestAVGPREC,meantrainAVGPREC,meantestAUROC,meantestAUPRC
0.748,0.043,0.999,0.972,0.748
0.744,0.038,0.999,0.976,0.743
0.743,0.044,0.999,0.975,0.743
0.742,0.045,0.999,0.974,0.741
0.737,0.047,1.0,0.973,0.737
0.737,0.035,1.0,0.974,0.736
0.737,0.031,0.999,0.975,0.736
0.736,0.039,0.998,0.973,0.736
0.735,0.054,0.999,0.974,0.734
0.734,0.049,0.999,0.969,0.733
0.729,0.053,0.998,0.976,0.729
0.728,0.047,0.999,0.972,0.727
0.669,0.075,0.957,0.974,0.671
0.662,0.104,0.973,0.975,0.661
0.499,0.064,0.832,0.967,0.527
