architecture,parammodelepochs,dropoutrate,meantestAVGPREC,meantrainAVGPREC,stdtestAVGPREC,meanfittime
100,150,0.2,0.772,0.904,0.014,349.849
100,150,0.4,0.764,0.861,0.032,356.165
100-40-20,150,0.2,0.665,0.766,0.053,256.744
100-80,150,0.2,0.664,0.802,0.057,171.159
100-40,150,0.2,0.663,0.797,0.073,186.925
100,150,0.6,0.662,0.739,0.024,363.565
100-80-40,150,0.2,0.658,0.764,0.047,233.058
40-20,150,0.2,0.647,0.739,0.064,445.837
100-10,150,0.2,0.636,0.729,0.056,264.268
100-80-40,150,0.4,0.631,0.727,0.1,238.703
100-80-50-20,150,0.2,0.631,0.729,0.037,379.037
80-40-20,150,0.2,0.617,0.738,0.047,313.861
100-80,150,0.4,0.599,0.718,0.052,176.408
100-40,150,0.4,0.565,0.707,0.061,192.486
80-20-10,150,0.2,0.563,0.67,0.052,426.641
100-40,150,0.6,0.517,0.571,0.096,196.707
100-40-20,150,0.4,0.491,0.597,0.109,263.038
80-40-20,150,0.4,0.483,0.61,0.054,320.664
100-80-50-20,150,0.4,0.474,0.582,0.07,389.225
100-80-40,150,0.6,0.445,0.506,0.172,242.921
100,150,0.8,0.335,0.338,0.165,369.736
100-80,150,0.6,0.333,0.399,0.1,179.957
80-20-10,150,0.4,0.184,0.221,0.164,434.203
100-40-20,150,0.6,0.073,0.074,0.118,270.479
100-80-50-20,150,0.6,0.004,0.005,0.008,397.297
40-20,150,0.4,0.004,0.005,0.0,451.028
100-80,150,0.8,0.003,0.003,0.001,183.752
40-20,150,0.6,0.003,0.003,0.0,472.164
100-40,150,0.8,0.003,0.003,0.0,201.03
40-20,150,0.8,0.002,0.002,0.0,480.781
100-10,150,0.4,0.001,0.001,0.0,265.93
80-40-20,150,0.6,0.001,0.001,0.0,327.636
100-80-40,150,0.8,0.001,0.001,0.0,250.824
100-10,150,0.6,0.001,0.001,0.0,274.771
100-10,150,0.8,0.001,0.001,0.0,277.393
80-20-10,150,0.6,0.001,0.001,0.0,438.244
100-40-20,150,0.8,0.0,0.0,0.0,275.706
80-20-10,150,0.8,0.0,0.0,0.0,458.888
80-40-20,150,0.8,0.0,0.0,0.0,333.551
100-80-50-20,150,0.8,0.0,0.0,0.0,408.685
