architecture,meantestAUPRC,stdtestAUPRC,meantestAVGPREC,meantestAUROC,stdtestAUROC,meantrainAUPRC,stdtrainAUPRC,meantrainAVGPREC,meantrainAUROC,meanfittime
2,0.199,0.17,0.002,0.711,0.244,0.2,0.165,0.002,0.7,109.324
20-5,0.038,0.04,0.02,0.64,0.113,0.011,0.007,0.015,0.665,136.246
100-80-40,0.036,0.039,0.038,0.606,0.255,0.03,0.029,0.03,0.626,310.414
10,0.014,0.011,0.015,0.87,0.015,0.011,0.005,0.011,0.875,124.896
100-50-25-10,0.013,0.024,0.014,0.571,0.129,0.019,0.036,0.019,0.576,286.234
100-10,0.01,0.018,0.01,0.202,0.093,0.011,0.019,0.011,0.204,175.417
20-10-5,0.008,0.01,0.012,0.535,0.038,0.012,0.009,0.013,0.56,166.503
10-5,0.006,0.01,0.007,0.63,0.149,0.003,0.002,0.003,0.644,146.856
40-10,0.006,0.011,0.006,0.13,0.032,0.004,0.008,0.005,0.128,148.39
40-20-10,0.005,0.005,0.006,0.341,0.036,0.015,0.018,0.015,0.364,179.111
80-40-20,0.004,0.004,0.006,0.193,0.085,0.008,0.007,0.009,0.203,249.655
30-15-7-3,0.003,0.002,0.003,0.828,0.026,0.005,0.003,0.007,0.846,207.085
50-30-20-10,0.001,0.002,0.002,0.248,0.168,0.004,0.008,0.005,0.254,229.292
80-60-20-10,0.001,0.001,0.001,0.36,0.022,0.001,0.001,0.001,0.374,300.805
10-2,0.001,0.0,0.001,0.664,0.158,0.001,0.0,0.001,0.673,141.992
10-5-2,0.001,0.0,0.001,0.509,0.04,0.001,0.0,0.001,0.516,163.482
100,0.0,0.0,0.0,0.086,0.026,0.0,0.0,0.0,0.091,147.004
100-80,0.0,0.0,0.0,0.152,0.081,0.001,0.002,0.001,0.148,247.061
100-40,0.0,0.0,0.0,0.115,0.027,0.0,0.0,0.0,0.114,205.823
5,0.0,0.0,0.0,0.072,0.023,0.0,0.0,0.0,0.073,110.909
20,0.0,0.0,0.0,0.126,0.064,0.0,0.0,0.0,0.125,122.013
40,0.0,0.0,0.0,0.092,0.046,0.002,0.004,0.002,0.096,128.293
80,0.0,0.0,0.0,0.098,0.024,0.0,0.0,0.0,0.1,161.012
40-20,0.0,0.0,0.0,0.096,0.025,0.0,0.0,0.0,0.101,153.51
20-10,0.0,0.0,0.0,0.085,0.011,0.0,0.0,0.0,0.086,138.238
100-80-50-20,0.0,0.0,0.0,0.114,0.024,0.0,0.0,0.0,0.116,359.726
80-20-10,0.0,0.0,0.0,0.105,0.017,0.0,0.0,0.0,0.105,223.26
100-40-20,0.0,0.0,0.0,0.073,0.01,0.001,0.002,0.002,0.075,241.984
