architecture,meantestAUPRC,stdtestAUPRC,meantestAVGPREC,meantestAUROC,stdtestAUROC,meantrainAUPRC,stdtrainAUPRC,meantrainAVGPREC,meantrainAUROC,meanfittime
20,0.568,0.101,0.57,0.888,0.061,0.644,0.068,0.645,0.904,124.581
20-10,0.564,0.139,0.529,0.891,0.021,0.607,0.139,0.561,0.917,138.252
40-20,0.564,0.092,0.565,0.835,0.068,0.617,0.079,0.617,0.861,159.095
10,0.546,0.053,0.462,0.921,0.053,0.563,0.061,0.474,0.941,122.079
5,0.538,0.103,0.539,0.925,0.074,0.561,0.126,0.561,0.92,109.072
50-30-20-10,0.532,0.061,0.096,0.565,0.088,0.544,0.078,0.101,0.57,261.282
40-10,0.521,0.058,0.276,0.79,0.104,0.584,0.068,0.315,0.813,156.491
20-5,0.495,0.011,0.001,0.647,0.063,0.5,0.0,0.001,0.654,142.296
40,0.473,0.083,0.474,0.75,0.1,0.541,0.11,0.542,0.78,127.864
2,0.472,0.148,0.42,0.804,0.134,0.513,0.142,0.455,0.816,103.737
80,0.436,0.154,0.436,0.694,0.143,0.503,0.127,0.503,0.734,164.989
10-5-2,0.423,0.205,0.193,0.68,0.122,0.446,0.21,0.221,0.691,181.329
10-2,0.421,0.22,0.377,0.918,0.038,0.563,0.084,0.413,0.933,149.924
80-20-10,0.4,0.195,0.099,0.755,0.137,0.444,0.196,0.119,0.769,242.808
100-10,0.397,0.199,0.009,0.668,0.074,0.507,0.004,0.015,0.68,183.56
20-10-5,0.396,0.194,0.003,0.518,0.162,0.402,0.196,0.003,0.519,175.953
10-5,0.395,0.197,0.0,0.604,0.052,0.501,0.001,0.001,0.612,155.149
100-50-25-10,0.39,0.137,0.011,0.595,0.135,0.436,0.137,0.011,0.603,318.318
100,0.338,0.258,0.339,0.532,0.328,0.406,0.285,0.406,0.567,151.344
40-20-10,0.279,0.243,0.169,0.762,0.107,0.3,0.263,0.179,0.781,197.665
80-40-20,0.25,0.197,0.194,0.661,0.301,0.305,0.22,0.224,0.691,269.515
80-60-20-10,0.199,0.222,0.102,0.654,0.09,0.215,0.249,0.115,0.657,335.003
100-80-50-20,0.182,0.189,0.033,0.477,0.269,0.192,0.201,0.033,0.486,388.277
30-15-7-3,0.108,0.096,0.043,0.75,0.098,0.119,0.102,0.036,0.767,230.123
100-80-40,0.05,0.033,0.051,0.219,0.139,0.086,0.049,0.086,0.251,329.678
100-80,0.034,0.015,0.035,0.146,0.03,0.058,0.011,0.058,0.16,255.506
100-40-20,0.032,0.018,0.033,0.296,0.295,0.045,0.023,0.045,0.305,262.428
100-40,0.029,0.018,0.03,0.137,0.028,0.047,0.019,0.047,0.147,213.529
