architecture,meantestAUPRC,stdtestAUPRC,meantestAVGPREC,meantestAUROC,stdtestAUROC,meantrainAUPRC,stdtrainAUPRC,meantrainAVGPREC,meantrainAUROC,meanfittime
100-40,0.332,0.035,0.335,0.795,0.032,0.376,0.014,0.377,0.812,207.143
100-80-40,0.279,0.05,0.281,0.801,0.029,0.328,0.011,0.328,0.829,311.971
100-10,0.274,0.059,0.277,0.762,0.025,0.311,0.018,0.312,0.781,176.364
80-40-20,0.256,0.028,0.259,0.838,0.028,0.322,0.02,0.322,0.851,251.532
80-60-20-10,0.244,0.055,0.247,0.797,0.036,0.288,0.023,0.288,0.816,303.931
100-80,0.244,0.039,0.246,0.832,0.028,0.298,0.017,0.299,0.841,247.624
40-20,0.234,0.038,0.238,0.856,0.014,0.271,0.015,0.271,0.868,154.627
100-80-50-20,0.23,0.053,0.234,0.782,0.033,0.287,0.015,0.288,0.807,359.539
80-20-10,0.147,0.024,0.151,0.668,0.037,0.192,0.022,0.193,0.688,224.973
100-40-20,0.137,0.017,0.142,0.806,0.02,0.221,0.014,0.223,0.829,243.893
30-15-7-3,0.094,0.045,0.055,0.89,0.031,0.112,0.023,0.066,0.899,218.427
40-10,0.089,0.029,0.092,0.546,0.031,0.103,0.019,0.104,0.565,152.717
20-10,0.085,0.021,0.092,0.68,0.043,0.103,0.021,0.105,0.693,146.834
20,0.071,0.035,0.073,0.62,0.035,0.071,0.01,0.072,0.631,123.871
100,0.069,0.022,0.074,0.626,0.05,0.078,0.015,0.081,0.637,147.727
20-5,0.063,0.027,0.064,0.64,0.032,0.073,0.009,0.072,0.66,141.203
100-50-25-10,0.052,0.011,0.054,0.725,0.03,0.063,0.016,0.064,0.75,288.903
2,0.051,0.095,0.003,0.688,0.029,0.039,0.073,0.003,0.673,115.514
80,0.041,0.011,0.045,0.648,0.036,0.041,0.006,0.043,0.662,161.888
10-2,0.035,0.015,0.027,0.747,0.023,0.032,0.003,0.022,0.753,145.795
10,0.029,0.008,0.033,0.658,0.025,0.026,0.003,0.028,0.667,129.389
5,0.027,0.007,0.028,0.687,0.026,0.03,0.006,0.029,0.693,115.884
40,0.023,0.009,0.026,0.588,0.047,0.025,0.004,0.027,0.602,138.335
50-30-20-10,0.006,0.002,0.008,0.602,0.033,0.007,0.001,0.007,0.62,232.985
10-5,0.005,0.003,0.007,0.643,0.016,0.007,0.003,0.007,0.657,152.338
10-5-2,0.004,0.003,0.002,0.659,0.047,0.005,0.003,0.002,0.663,170.555
40-20-10,0.004,0.003,0.005,0.331,0.032,0.006,0.003,0.007,0.35,180.851
20-10-5,0.001,0.0,0.001,0.551,0.015,0.001,0.0,0.001,0.563,170.224
