architecture,meantestAUPRC,stdtestAUPRC,meantestAVGPREC,meantestAUROC,stdtestAUROC,meantrainAUPRC,stdtrainAUPRC,meantrainAVGPREC,meantrainAUROC,meanfittime
80,0.753,0.027,0.754,0.954,0.014,0.909,0.007,0.91,0.99,165.38
10-2,0.741,0.033,0.739,0.96,0.009,0.793,0.014,0.789,0.977,153.717
100,0.735,0.032,0.735,0.959,0.011,0.928,0.009,0.928,0.994,152.383
40,0.732,0.025,0.733,0.964,0.008,0.883,0.007,0.883,0.988,128.516
20,0.731,0.027,0.732,0.958,0.009,0.842,0.006,0.842,0.979,125.279
100-10,0.725,0.06,0.726,0.969,0.013,0.954,0.011,0.954,1.0,184.349
100-40-20,0.724,0.046,0.724,0.951,0.013,0.967,0.009,0.967,1.0,263.727
40-20,0.717,0.036,0.717,0.939,0.012,0.926,0.012,0.926,0.996,160.896
10,0.714,0.035,0.714,0.96,0.009,0.787,0.014,0.787,0.974,122.808
40-10,0.713,0.049,0.714,0.957,0.009,0.91,0.004,0.91,0.997,158.52
100-80-40,0.712,0.045,0.712,0.947,0.005,0.98,0.003,0.98,1.0,331.398
100-40,0.708,0.043,0.709,0.954,0.008,0.985,0.004,0.985,1.0,214.781
100-80,0.707,0.04,0.708,0.957,0.011,0.994,0.001,0.994,1.0,256.409
80-20-10,0.703,0.038,0.703,0.925,0.022,0.927,0.013,0.927,0.999,245.937
80-40-20,0.694,0.083,0.695,0.946,0.024,0.95,0.036,0.95,1.0,271.856
5,0.681,0.048,0.682,0.958,0.013,0.716,0.007,0.715,0.961,109.537
10-5-2,0.679,0.078,0.68,0.954,0.03,0.74,0.034,0.739,0.97,184.345
20-5,0.678,0.045,0.683,0.963,0.008,0.823,0.023,0.823,0.982,141.228
80-60-20-10,0.675,0.021,0.676,0.942,0.021,0.889,0.038,0.889,0.997,338.416
100-80-50-20,0.675,0.055,0.675,0.92,0.029,0.938,0.037,0.938,0.994,391.015
20-10,0.673,0.039,0.673,0.943,0.026,0.842,0.004,0.842,0.991,139.827
100-50-25-10,0.666,0.081,0.667,0.925,0.022,0.895,0.033,0.895,0.997,322.185
50-30-20-10,0.666,0.063,0.667,0.933,0.022,0.888,0.034,0.888,0.997,265.739
40-20-10,0.664,0.052,0.665,0.877,0.035,0.899,0.011,0.899,0.992,200.491
30-15-7-3,0.661,0.038,0.66,0.882,0.037,0.792,0.035,0.791,0.965,227.661
20-10-5,0.657,0.044,0.658,0.864,0.031,0.782,0.012,0.782,0.953,176.761
10-5,0.264,0.024,0.262,0.932,0.012,0.302,0.023,0.3,0.951,157.096
2,0.101,0.2,0.003,0.925,0.004,0.201,0.245,0.003,0.93,104.566
