architecture,meantestAUPRC,stdtestAUPRC,meantestAVGPREC,stdtestAVGPREC,meantestAUROC,stdtestAUROC,meantrainAUPRC,stdtrainAUPRC,meantrainAVGPREC,meantrainAUROC,meanfittime
100-10,0.741,0.036,0.741,0.036,0.973,0.012,0.951,0.007,0.951,1.0,169.116
100-80-50-20,0.74,0.055,0.74,0.055,0.943,0.011,0.956,0.013,0.956,1.0,230.997
10-2,0.743,0.033,0.74,0.035,0.958,0.011,0.804,0.008,0.801,0.978,177.754
40,0.738,0.024,0.739,0.023,0.964,0.006,0.885,0.009,0.885,0.988,145.969
80,0.737,0.011,0.737,0.011,0.954,0.011,0.91,0.008,0.91,0.991,144.974
100,0.737,0.032,0.737,0.032,0.959,0.007,0.934,0.01,0.934,0.994,140.133
20,0.736,0.017,0.737,0.017,0.958,0.009,0.842,0.007,0.842,0.979,144.509
100-40-20,0.725,0.039,0.725,0.039,0.937,0.023,0.965,0.014,0.966,1.0,199.347
100-40,0.722,0.025,0.723,0.025,0.959,0.005,0.972,0.008,0.972,1.0,166.244
80-40-20,0.721,0.038,0.721,0.038,0.954,0.012,0.96,0.005,0.96,1.0,201.874
10,0.716,0.04,0.717,0.04,0.961,0.011,0.787,0.013,0.787,0.974,143.65
100-80,0.714,0.047,0.715,0.047,0.956,0.008,0.987,0.011,0.987,1.0,165.833
80-60-20-10,0.706,0.047,0.707,0.047,0.933,0.044,0.902,0.041,0.902,0.997,233.965
100-80-40,0.705,0.052,0.705,0.052,0.953,0.008,0.974,0.007,0.974,1.0,198.624
40-10,0.703,0.03,0.704,0.03,0.946,0.014,0.904,0.009,0.904,0.995,171.618
40-20,0.691,0.039,0.692,0.039,0.943,0.014,0.933,0.009,0.933,0.997,170.169
20-10,0.69,0.041,0.69,0.041,0.945,0.016,0.836,0.011,0.836,0.992,173.962
80-20-10,0.69,0.053,0.69,0.053,0.931,0.031,0.927,0.012,0.927,0.996,204.214
20-5,0.682,0.047,0.688,0.044,0.96,0.004,0.837,0.013,0.836,0.984,176.002
40-20-10,0.686,0.044,0.687,0.044,0.885,0.044,0.897,0.027,0.897,0.992,205.979
10-5-2,0.686,0.087,0.686,0.086,0.954,0.019,0.747,0.039,0.745,0.968,209.98
5,0.677,0.052,0.678,0.052,0.957,0.013,0.712,0.013,0.713,0.96,144.586
100-50-25-10,0.675,0.042,0.675,0.043,0.929,0.043,0.938,0.017,0.938,0.998,230.55
50-30-20-10,0.67,0.08,0.671,0.08,0.932,0.023,0.854,0.073,0.854,0.988,236.41
20-10-5,0.662,0.034,0.662,0.034,0.877,0.037,0.773,0.022,0.773,0.955,208.304
30-15-7-3,0.652,0.083,0.652,0.083,0.884,0.05,0.771,0.046,0.771,0.956,239.549
10-5,0.327,0.067,0.279,0.035,0.945,0.014,0.355,0.052,0.304,0.963,177.231
2,0.393,0.196,0.003,0.0,0.926,0.009,0.501,0.0,0.003,0.929,142.938
